Execution Time (s), Number of Queries executed (Proposed), Number of Queries executed (Sequential), Number of Queries executed (Sequential and scaled by a factor of 10), Average Node Count Visited, Minimum Node Count Visited, Maximum Node Count Visited
0.0,14623,0,0,49436.28892806239,1072,114934
0.1,7724,0,0,114623.81097728349,38419,195757
0.2,4949,0,0,159843.34269226424,57131,266344
0.3,3710,0,0,197975.99810787127,92242,315197
0.4,3193,0,0,231919.06137701476,106768,360542
0.5,2629,0,0,263670.53783706087,148372,393997
0.6,2316,0,0,290079.28064377897,175540,435373
0.7,2138,0,0,318910.7310421464,177683,487966
0.8,2034,0,0,346997.6956564898,202525,524483
0.9,1834,0,0,374814.55286942126,236399,548506
1.0,1706,0,0,398754.0884877636,254359,598900
1.1,1683,0,0,427599.5537476174,278097,600385
1.2,1561,0,0,452450.1140004837,295824,629493
1.3,1515,0,0,474299.06729542586,314227,658172
1.4,1465,0,0,498072.2764165139,331120,713870
1.5,1460,0,0,523576.2451696181,355199,737385
1.6,1330,0,0,546452.0879288382,372367,751743
1.7,1376,0,0,564666.1373136145,392709,766803
1.8,1262,0,0,590073.793138663,412447,805098
1.9,1219,0,0,620675.6316143827,432457,815238
2.0,1166,0,0,646322.5265311903,453813,850217
2.1,1082,0,0,673822.470362863,476872,886448
2.2,1000,0,0,710364.3439289636,496863,921357
2.3,973,0,0,737200.3596364645,511039,930023
2.4,894,0,0,769335.4965582399,527135,915715
2.5,860,0,0,794920.7150238465,552790,944510
2.6,826,0,0,820045.220239704,564833,978038
2.7,816,0,0,845869.971710065,587502,1010223
2.8,754,0,0,868588.3593012482,622235,1004867
2.9,790,0,0,892294.2403933805,633031,1045711
3.0,760,0,0,915621.201195313,675860,1045686
3.1,710,0,0,936327.1801498131,683917,1064901
3.2,714,0,0,959686.7267563464,731023,1083630
3.3,699,0,0,976810.4562264936,739829,1129248
3.4,698,0,0,997139.7491408109,764979,1121671
3.5,680,0,0,1019369.820438328,855710,1171124
3.6,699,0,0,1037362.9926985175,815995,1160390
3.7,613,0,0,1056779.0601864962,853834,1170440
3.8,643,0,0,1073390.2704395973,891781,1200787
3.9,680,0,0,1092465.0439569906,917663,1242989
4.0,662,0,0,1115096.9922786863,910154,1244980
4.1,601,0,0,1132337.1013090953,868492,1269605
4.2,591,0,0,1147332.7375385223,942519,1284573
4.3,612,0,0,1168349.9671293546,973270,1367631
4.4,551,0,0,1184906.8400753345,966826,1287312
4.5,625,0,0,1205407.763007135,1017821,1374089
4.6,576,0,0,1223685.0431903326,1050651,1333817
4.7,554,0,0,1241656.7199924807,1032264,1419040
4.8,571,0,0,1262214.491898036,1010724,1381906
4.9,584,0,0,1277235.552863487,1129178,1395132
5.0,562,0,0,1296813.2115130227,1125948,1428270
5.1,508,0,0,1316402.0686385036,1128804,1459462
5.2,534,0,0,1327838.6308374836,1150282,1439885
5.3,500,0,0,1346153.1277307696,1163444,1457384
5.4,514,0,0,1365322.1767771747,1190435,1498144
5.5,507,0,0,1380672.4474594335,1207836,1523022
5.6,499,0,0,1397234.9716638809,1230945,1487561
5.7,508,0,0,1415906.4977527745,1211035,1543754
5.8,463,0,0,1432996.9716127438,1220148,1573998
5.9,475,0,0,1446631.947063867,1292207,1543684
6.0,457,0,0,1466399.045630985,1341180,1571285
6.1,469,0,0,1484972.050856083,1313070,1577381
6.2,431,0,0,1500509.482250462,1262428,1669252
6.3,444,0,0,1515921.8870459637,1368499,1635143
6.4,420,0,0,1532275.382968506,1371343,1701780
6.5,441,0,0,1548975.15384377,1378007,1673190
6.6,410,0,0,1562699.6410822684,1396895,1696582
6.7,426,0,0,1577463.243761159,1386485,1722534
6.8,358,0,0,1597714.114078851,1484565,1712946
6.9,406,0,0,1611627.0784207815,1408761,1721143
7.0,383,0,0,1630443.2162844797,1491267,1817298
7.1,340,0,0,1644802.4112809405,1535101,1742026
7.2,361,0,0,1658037.9856902943,1537449,1796168
7.3,401,0,0,1679038.4758905142,1540942,1859423
7.4,358,0,0,1690744.2062316358,1523967,1871135
7.5,356,0,0,1710976.036036243,1578096,1816209
7.6,339,0,0,1724755.1971313409,1612438,1914338
7.7,319,0,0,1743020.726726326,1626033,1855898
7.8,329,0,0,1757986.2547848069,1622608,1918191
7.9,307,0,0,1771742.9505629505,1648551,1906353
8.0,313,0,0,1788148.842879186,1663304,1923372
8.1,279,0,0,1804952.605087831,1632965,2012837
8.2,260,0,0,1816038.322378447,1659063,1961562
8.3,287,0,0,1829571.988909557,1699608,1979518
8.4,269,0,0,1849702.3301673972,1757457,1985327
8.5,273,0,0,1861727.5634206128,1756811,1968016
8.6,271,0,0,1879255.0214467696,1782107,1982035
8.7,245,0,0,1896767.566572748,1761626,2019135
8.8,231,0,0,1908422.0121608563,1816297,2063647
8.9,273,0,0,1925061.8601007103,1811774,2043528
9.0,222,0,0,1937086.5036319431,1816670,2050224
9.1,213,0,0,1954813.4357019656,1863831,2096572
9.2,199,0,0,1973765.205038309,1884442,2193721
9.3,186,0,0,1984699.4935566133,1875469,2203350
9.4,187,0,0,1995457.886633445,1907659,2119476
9.5,172,0,0,2010332.6151102718,1931198,2118084
9.6,162,0,0,2031661.893807616,1934014,2139875
9.7,155,0,0,2043491.4180364572,1971179,2217573
9.8,138,0,0,2060599.9985068117,1981565,2204002
9.9,115,0,0,2067716.5199411162,1988345,2163928
10.0,108,0,0,2087884.8684371437,2001358,2230831
10.1,95,0,0,2101458.3767353073,2005851,2225246
10.2,83,0,0,2118367.419134497,2037794,2320827
10.3,74,0,0,2129353.7673927653,2059720,2267998
10.4,75,0,0,2142213.6771437153,2058539,2340536
10.5,68,0,0,2161243.5703511126,2085820,2325472
10.6,57,0,0,2182251.241785524,2051323,2335148
10.7,50,0,0,2202760.7355944784,2131883,2363974
10.8,38,0,0,2222809.1257294496,2144637,2378965
10.9,30,0,0,2238268.2258724393,2145803,2404768
11.0,26,0,0,2241870.8759928043,2164998,2422872
11.1,22,0,0,2276853.8078324827,2197626,2400204
11.2,22,0,0,2268594.898779114,2183045,2445804
11.3,19,0,0,2334225.145609341,2232486,2486728
11.4,9,0,0,2306902.7521455246,2235110,2391970
11.5,12,0,0,2392248.063397933,2274325,2537924
11.6,14,0,0,2350088.98321365,2261717,2528484
11.7,7,0,0,2448086.5364559065,2365349,2552019
11.8,9,0,0,2390949.862322779,2290293,2566770
11.9,9,0,0,2457968.9726892333,2361599,2610000
12.0,11,0,0,2420338.796178738,2307080,2577979
12.1,5,0,0,2474906.550501869,2387416,2554095
12.2,5,0,0,2518559.3496288126,2419909,2645041
12.3,9,0,0,2523164.083075954,2423163,2628778
12.4,7,0,0,2533433.392379523,2447474,2663410
12.5,4,0,0,2561684.6859578826,2521861,2649735
12.6,3,0,0,2623224.579225847,2611732,2640551
12.7,2,0,0,2636051.3681974313,2617951,2654152
12.8,7,0,0,2648482.3907359657,2550633,2696805
12.9,3,0,0,2633131.2455622917,2513512,2701015
13.0,2,0,0,2667775.8666112064,2600993,2734559
13.1,3,0,0,2699795.9100068025,2672262,2717076
13.3,3,0,0,2669959.911001336,2594399,2743254
13.4,1,0,0,2777775.722222428,2777776,2777776
13.5,2,0,0,2686328.8656835565,2636556,2736102
13.6,3,0,0,2799048.9066983694,2780965,2832140
13.7,1,0,0,2827738.717226128,2827739,2827739
13.8,2,0,0,2835673.358216332,2791590,2879757
13.9,1,0,0,2671828.7328171264,2671829,2671829
14.0,2,0,0,2797975.8601012067,2790380,2805572
14.1,4,0,0,2885257.427868564,2855851,2923957
14.2,3,0,0,2875755.2374748252,2875400,2876166
14.3,3,0,0,2844344.2385218586,2793710,2888914
14.4,2,0,0,2840521.357973932,2830875,2850168
14.6,3,0,0,2871673.904277536,2825917,2897347
14.7,3,0,0,2977223.2340925587,2912244,3017263
14.8,3,0,0,2941877.2352707586,2860596,3011395
14.9,3,0,0,2996770.9001076366,2963014,3020112
15.0,1,0,0,3008672.69913273,3008673,3008673
15.1,1,0,0,2962356.7037643297,2962357,2962357
15.2,5,0,0,3012735.339745293,2965023,3061541
15.3,1,0,0,3074729.6925270306,3074730,3074730
15.5,3,0,0,3021768.232607725,2990782,3057202
15.6,1,0,0,3098325.690167431,3098326,3098326
15.7,2,0,0,3106430.8446784574,3063213,3149649
15.8,1,0,0,3130710.686928931,3130711,3130711
15.9,1,0,0,3129714.687028531,3129715,3129715
16.0,7,0,0,3119136.669726619,3002509,3193801
16.1,2,0,0,3201474.8399262577,3184553,3218397
16.2,2,0,0,3134103.8432948072,3099784,3168424
16.3,5,0,0,3199927.736001445,3173762,3219184
16.4,2,0,0,3177278.3411360825,3135373,3219184
16.5,4,0,0,3176224.420594389,3061335,3258487
16.6,2,0,0,3247973.3376013325,3242503,3253444
16.7,2,0,0,3195932.8402033574,3154272,3237594
16.8,3,0,0,3261850.891271637,3243959,3276303
16.9,4,0,0,3271641.668208958,3196478,3328588
17.0,4,0,0,3266527.4183368143,3188931,3323011
17.1,2,0,0,3252619.8373690075,3186638,3318602
17.2,1,0,0,3220547.677945232,3220548,3220548
17.3,1,0,0,3337298.666270133,3337299,3337299
17.4,1,0,0,3236591.6763408324,3236592,3236592
17.5,1,0,0,3360028.6639971333,3360029,3360029
17.8,0,19,190, , , 
17.9,2,178,1780,3372943.3313528327,3313124,3432763
18.0,1,143,1430,3453610.6546389344,3453611,3453611
