Execution Time (s), Number of Queries executed (Proposed), Number of Queries executed (Sequential), Number of Queries executed (Sequential and scaled by a factor of 10), Average Node Count Visited, Minimum Node Count Visited, Maximum Node Count Visited
0.0,2146,0,0,54930.54333388022,1936,98762
0.1,4743,0,0,121573.26902547812,69301,184596
0.2,5362,0,0,191998.07851189858,138636,262452
0.3,5512,0,0,260096.3775351942,203909,333021
0.4,5769,0,0,326540.5004276904,239655,410784
0.5,6178,0,0,389190.5257301847,302456,481544
0.6,6629,0,0,450269.526015232,383626,553804
0.7,6086,0,0,514686.5305534886,400930,627404
0.8,4800,0,0,583901.1849878354,471426,687634
0.9,4215,0,0,653114.0289287517,540130,759870
1.0,3958,0,0,718972.4443982069,563382,825531
1.1,3701,0,0,784403.5306461928,671058,890536
1.2,3461,0,0,849230.1470427845,696638,945977
1.3,3505,0,0,910276.6410581947,768814,1016596
1.4,3539,0,0,973216.7335130485,862346,1080397
1.5,3348,0,0,1035532.1561817344,679188,1137804
1.6,3343,0,0,1096496.4648191298,979036,1201968
1.7,3247,0,0,1156877.112991781,967505,1276344
1.8,3213,0,0,1217413.3248920818,1068901,1331148
1.9,3138,0,0,1278162.899576859,1025167,1389007
2.0,2939,0,0,1336115.8060110202,1222006,1450417
2.1,2722,0,0,1394135.5576269606,1302819,1517216
2.2,2271,0,0,1452682.6318162624,1160681,1572047
2.3,1763,0,0,1510780.6822739206,1334021,1619990
2.4,1158,0,0,1570853.1164446587,1426770,1680939
2.5,760,0,0,1632522.1300483525,1424034,1759443
2.6,448,0,0,1700647.4348882486,1494118,1814797
2.7,320,0,0,1761292.5619495963,1586884,1866317
2.8,216,0,0,1828614.5824867527,1655899,1923025
2.9,195,0,0,1892606.4451832788,1667925,1979151
3.0,138,0,0,1939470.0855511087,1758085,2034555
3.1,118,0,0,2004123.0660982009,1821605,2095828
3.2,72,0,0,2042995.3166069512,1867142,2149622
3.3,57,0,0,2100014.733157869,1923218,2220528
3.4,59,0,0,2155633.03024469,1976895,2265707
3.5,56,0,0,2215864.103185957,2047394,2312284
3.6,65,0,0,2240730.596552722,2070212,2382410
3.7,45,0,0,2305913.261542415,2131259,2428413
3.8,27,0,0,2339989.102444485,2196469,2476990
3.9,25,0,0,2358503.710565985,2233925,2531259
4.0,24,0,0,2459372.4064192814,2295497,2590946
4.1,23,0,0,2476711.2501012553,2359657,2635349
4.2,44,0,0,2583502.7668556753,2400522,2707246
4.3,13,0,0,2660909.9795314614,2488010,2756897
4.4,38,0,0,2767694.20324291,2542987,2800455
4.5,25,0,0,2758407.908966368,2559536,2865377
4.6,13,0,0,2766293.1325669754,2617913,2928229
4.7,77,0,0,2924588.061136899,2658571,2990380
4.8,6,0,0,3009097.9498483674,2967601,3043430
4.9,11,0,0,3003774.154511144,2778449,3096718
5.0,82,0,0,3090037.3011097107,2840083,3149954
5.1,14,0,0,3152924.4060505396,2915634,3198961
5.2,68,0,0,3238903.7452369067,2966851,3257537
5.3,35,0,0,3261268.59068209,3031945,3301272
5.4,47,2495,24950,3344715.0354367765,3069458,3354807
5.5,131,2,20,3365468.3180416273,3099534,3369825
5.6,1,0,0,3369824.6630175337,3369825,3369825
5.7,1,1,10,3202699.6797300316,3202700,3202700
5.9,0,1,10, , , 
6.2,0,1,10, , , 
