Execution Time (s), Number of Queries executed (Proposed), Number of Queries executed (Sequential), Number of Queries executed (Sequential and scaled by a factor of 10), Average Node Count Visited, Minimum Node Count Visited, Maximum Node Count Visited
0.0,11194,0,0,58327.31695499082,1616,118170
0.1,10194,0,0,136708.04894902188,64726,218115
0.2,8425,0,0,212196.88795000358,113860,305737
0.3,7224,0,0,282412.60035600205,170346,386377
0.4,6427,0,0,352344.72148199246,251300,460947
0.5,6104,0,0,419151.8199472616,250244,556408
0.6,4981,0,0,489420.4217930251,328297,608184
0.7,3597,0,0,573672.0319551384,437785,683495
0.8,3238,0,0,648581.3375340154,532695,751147
0.9,3211,0,0,718315.3830358669,381228,827582
1.0,2950,0,0,784996.7948886442,547795,898176
1.1,2988,0,0,849246.7961563171,594806,970685
1.2,2742,0,0,914535.4547441818,633044,1048965
1.3,2826,0,0,976764.6744169581,732181,1094581
1.4,2690,0,0,1039685.3248684133,924462,1164680
1.5,2666,0,0,1100001.954572393,890091,1218948
1.6,2671,0,0,1159069.4189008211,992475,1298737
1.7,2361,0,0,1220838.0431503246,707110,1356827
1.8,2341,0,0,1278128.4484716733,965844,1398274
1.9,2315,0,0,1334935.468624841,793534,1481377
2.0,2019,0,0,1391272.4937399074,1088741,1544132
2.1,1745,0,0,1448237.1191147144,1042021,1585283
2.2,1425,0,0,1502557.3423506978,1249604,1635736
2.3,1060,0,0,1553145.2857025338,896056,1699859
2.4,718,0,0,1609984.0833412278,1435615,1759796
2.5,460,0,0,1663296.9148558052,1269901,1820830
2.6,247,0,0,1722067.9426226446,1459344,1878950
2.7,144,0,0,1794620.484864847,1599168,1944862
2.8,110,0,0,1849520.9710458901,1551208,2004499
2.9,54,0,0,1908949.2001686126,1353312,2068289
3.0,26,0,0,1945660.1848243838,1760860,2095219
3.1,44,0,0,2014456.1317853269,1250604,2153524
3.2,49,0,0,2081159.4447323277,1319628,2199238
3.3,36,0,0,2098114.716394126,1237720,2287376
3.4,30,0,0,2210612.2926312923,1991687,2304023
3.5,30,0,0,2223449.259255169,1362394,2379234
3.6,26,0,0,2312515.991105708,2115889,2452273
3.7,38,0,0,2380424.0989988837,2198098,2507331
3.8,38,0,0,2466226.0198257207,2238507,2547325
3.9,18,0,0,2473680.930701772,2297164,2591112
4.0,40,0,0,2562105.4185947366,2347551,2670354
4.1,26,0,0,2602660.2592205373,2424165,2727733
4.2,29,0,0,2683625.5079874983,2451566,2787277
4.3,28,0,0,2747890.025900393,2484579,2839494
4.4,25,0,0,2831351.1086745956,2593325,2871247
4.5,22,0,0,2845533.532520302,2630259,2939572
4.6,8,0,0,2828816.214639797,2659510,2978995
4.7,9,0,0,2956658.300481574,2754365,3031126
4.8,23,0,0,3040014.856347761,2774522,3113382
4.9,56,0,0,3112443.190870637,2818397,3156402
5.0,8,0,0,3165828.210427147,3156402,3184670
5.1,11,0,0,3171668.607530285,2946116,3234773
5.2,10,0,0,3206480.567935194,2974760,3286741
5.3,39,0,0,3332385.2735067043,3031628,3348274
5.4,43,2495,24950,3394997.526988378,3348274,3396110
5.5,155,2,20,3420478.759083562,3396110,3420637
5.6,4,0,0,3420636.9144840767,3420637,3420637
5.7,1,1,10,3420636.657936334,3420637,3420637
5.8,1,0,0,3420636.657936334,3420637,3420637
5.9,0,1,10, , , 
6.2,0,1,10, , , 
