Execution Time (s), Number of Queries executed (Proposed), Number of Queries executed (Sequential), Number of Queries executed (Sequential and scaled by a factor of 10), Average Node Count Visited, Minimum Node Count Visited, Maximum Node Count Visited
0.0,6027,0,0,60322.036169564926,2015,124326
0.1,6490,0,0,142696.03189302472,76934,222429
0.2,5839,0,0,220532.84534645433,138734,289352
0.3,5456,0,0,293412.8029638304,215116,367661
0.4,5389,0,0,363145.9376440314,290109,457178
0.5,5771,0,0,428019.46421022323,342450,520375
0.6,6208,0,0,488967.76159006177,379979,584750
0.7,5910,0,0,552866.009127701,404800,663099
0.8,5067,0,0,621651.4444321758,374825,731557
0.9,4403,0,0,690892.347701774,520149,788945
1.0,3938,0,0,758267.2615348332,544417,874912
1.1,3598,0,0,822971.2993100898,635447,942732
1.2,3496,0,0,886530.1461416897,774408,989162
1.3,3264,0,0,950499.7659022519,844218,1057661
1.4,3139,0,0,1012689.2506845273,571168,1114473
1.5,2974,0,0,1075828.7750142626,879235,1180260
1.6,2872,0,0,1137113.452954836,1015288,1245202
1.7,2794,0,0,1197826.8091912016,1089006,1309163
1.8,2590,0,0,1255556.0872102103,1100903,1381335
1.9,2368,0,0,1316244.9319545506,1217504,1437143
2.0,2232,0,0,1373672.0003864844,1182911,1491191
2.1,2044,0,0,1431101.7822196134,1301822,1563061
2.2,1700,0,0,1488382.707559507,1087171,1608588
2.3,1363,0,0,1548094.4606347694,1422062,1683693
2.4,1096,0,0,1602675.9414596101,1293173,1735486
2.5,855,0,0,1662361.6231973846,1517054,1799619
2.6,633,0,0,1722351.9633929934,1247802,1851017
2.7,420,0,0,1786569.1567174837,1630838,1913746
2.8,288,0,0,1848941.6243580065,1685372,1968708
2.9,230,0,0,1915455.2643845847,1743970,2036170
3.0,150,0,0,1976455.2720156966,1507711,2101371
3.1,123,0,0,2038197.2991559373,1852720,2144316
3.2,123,0,0,2105520.1446296587,1886948,2200525
3.3,93,0,0,2150819.9331711615,1962869,2262239
3.4,67,0,0,2183640.0564423283,2009411,2323474
3.5,51,0,0,2262286.7406621827,2058997,2359339
3.6,45,0,0,2297638.1060052486,2113581,2428726
3.7,54,0,0,2379597.1067044497,2160070,2484080
3.8,58,0,0,2433888.6854588124,1935499,2528348
3.9,48,0,0,2462847.1407024018,2274900,2587406
4.0,25,0,0,2522640.5899094376,2325725,2627149
4.1,22,0,0,2569938.442863916,2145994,2683512
4.2,23,0,0,2625860.6407571277,2438978,2756525
4.3,13,0,0,2714425.9791198,2511645,2800394
4.4,40,0,0,2809481.2929762965,2575454,2854566
4.5,16,0,0,2799535.107502905,2611924,2906245
4.6,37,0,0,2927225.2353318236,2630174,2960830
4.7,23,0,0,2957421.074098169,2736639,3007673
4.8,10,0,0,2913714.070862859,2748125,3065249
4.9,83,0,0,3093330.176995988,2837780,3126850
5.0,9,0,0,3096653.298926074,2869296,3194164
5.1,64,0,0,3231709.479325454,3194176,3240835
5.2,51,0,0,3238712.6995319356,2971784,3293266
5.3,13,0,0,3327828.1282474757,3294392,3362511
5.4,105,2495,24950,3361447.063465289,3356996,3398417
5.5,183,2,20,3430535.790475117,3359417,3435019
5.6,17,0,0,3419294.9798864997,3188254,3435019
5.7,0,1,10, , , 
5.9,0,1,10, , , 
6.2,0,1,10, , , 
